index,stock
NIFTY 50,ADANIENT.NS
NIFTY 50,ADANIPORTS.NS
NIFTY 50,APOLLOHOSP.NS
NIFTY 50,ASIANPAINT.NS
NIFTY 50,AXISBANK.NS
NIFTY 50,BAJAJ-AUTO.NS
NIFTY 50,BAJFINANCE.NS
NIFTY 50,BAJAJFINSV.NS
NIFTY 50,BEL.NS
NIFTY 50,BHARTIARTL.NS
NIFTY 50,CIPLA.NS
NIFTY 50,COALINDIA.NS
NIFTY 50,DRREDDY.NS
NIFTY 50,EICHERMOT.NS
NIFTY 50,ETERNAL.NS
NIFTY 50,GRASIM.NS
NIFTY 50,HCLTECH.NS
NIFTY 50,HDFCBANK.NS
NIFTY 50,HDFCLIFE.NS
NIFTY 50,HEROMOTOCO.NS
NIFTY 50,HINDALCO.NS
NIFTY 50,HINDUNILVR.NS
NIFTY 50,ICICIBANK.NS
NIFTY 50,ITC.NS
NIFTY 50,INDUSINDBK.NS
NIFTY 50,INFY.NS
NIFTY 50,JSWSTEEL.NS
NIFTY 50,JIOFIN.NS
NIFTY 50,KOTAKBANK.NS
NIFTY 50,LT.NS
NIFTY 50,M&M.NS
NIFTY 50,MARUTI.NS
NIFTY 50,NTPC.NS
NIFTY 50,NESTLEIND.NS
NIFTY 50,ONGC.NS
NIFTY 50,POWERGRID.NS
NIFTY 50,RELIANCE.NS
NIFTY 50,SBILIFE.NS
NIFTY 50,SHRIRAMFIN.NS
NIFTY 50,SBIN.NS
NIFTY 50,SUNPHARMA.NS
NIFTY 50,TCS.NS
NIFTY 50,TATACONSUM.NS
NIFTY 50,TATAMOTORS.NS
NIFTY 50,TATASTEEL.NS
NIFTY 50,TECHM.NS
NIFTY 50,TITAN.NS
NIFTY 50,TRENT.NS
NIFTY 50,ULTRACEMCO.NS
NIFTY 50,WIPRO.NS
NIFTY 100,ABB.NS
NIFTY 100,ADANIENSOL.NS
NIFTY 100,ADANIENT.NS
NIFTY 100,ADANIGREEN.NS
NIFTY 100,ADANIPORTS.NS
NIFTY 100,ADANIPOWER.NS
NIFTY 100,AMBUJACEM.NS
NIFTY 100,APOLLOHOSP.NS
NIFTY 100,ASIANPAINT.NS
NIFTY 100,DMART.NS
NIFTY 100,AXISBANK.NS
NIFTY 100,BAJAJ-AUTO.NS
NIFTY 100,BAJFINANCE.NS
NIFTY 100,BAJAJFINSV.NS
NIFTY 100,BAJAJHLDNG.NS
NIFTY 100,BAJAJHFL.NS
NIFTY 100,BANKBARODA.NS
NIFTY 100,BEL.NS
NIFTY 100,BPCL.NS
NIFTY 100,BHARTIARTL.NS
NIFTY 100,BOSCHLTD.NS
NIFTY 100,BRITANNIA.NS
NIFTY 100,CGPOWER.NS
NIFTY 100,CANBK.NS
NIFTY 100,CHOLAFIN.NS
NIFTY 100,CIPLA.NS
NIFTY 100,COALINDIA.NS
